Time (h),BA_PVS_concentration_mmol_l,BA_outside_PVS_concentration_mmol_l,BA_peak_time_h,BA_lag_time_h,BA_FTA_time_h,MCA-L_PVS_concentration_mmol_l,MCA-L_outside_PVS_concentration_mmol_l,MCA-L_peak_time_h,MCA-L_lag_time_h,MCA-L_FTA_time_h,MCA-R_PVS_concentration_mmol_l,MCA-R_outside_PVS_concentration_mmol_l,MCA-R_peak_time_h,MCA-R_lag_time_h,MCA-R_FTA_time_h,MCA2-L_PVS_concentration_mmol_l,MCA2-L_outside_PVS_concentration_mmol_l,MCA2-L_peak_time_h,MCA2-L_lag_time_h,MCA2-L_FTA_time_h,MCA2-R_PVS_concentration_mmol_l,MCA2-R_outside_PVS_concentration_mmol_l,MCA2-R_peak_time_h,MCA2-R_lag_time_h,MCA2-R_FTA_time_h,ACA-A2_PVS_concentration_mmol_l,ACA-A2_outside_PVS_concentration_mmol_l,ACA-A2_peak_time_h,ACA-A2_lag_time_h,ACA-A2_FTA_time_h,ACA-A3_PVS_concentration_mmol_l,ACA-A3_outside_PVS_concentration_mmol_l,ACA-A3_peak_time_h,ACA-A3_lag_time_h,ACA-A3_FTA_time_h
0.0,0.0,0.0,2.8,-0.4,0.8666666666666667,0.0,0.0,5.033333333333333,0.03333333333333333,2.3666666666666667,0.0,0.0,4.233333333333333,0.43333333333333335,1.9,0.0,0.0,8.666666666666666,-0.03333333333333333,4.733333333333333,0.0,0.0,7.766666666666667,0.5,3.5,0.0,0.0,7.5,-0.2,3.7666666666666666,0.0,0.0,8.7,-0.3,4.766666666666667
0.03333333333333333,2.9517695981329756e-12,6.616600316579307e-11,,,,6.071313229921062e-23,-1.8649530073653413e-22,,,,5.880104191002404e-15,1.3353407314420002e-13,,,,-4.574634168799328e-24,-6.81284154272756e-23,,,,-1.1625197970705211e-22,-2.3990530174705813e-21,,,,3.227110749231305e-20,6.057318752662786e-19,,,,-5.328223492425591e-23,-5.337621729437105e-22,,,
0.06666666666666667,6.263499470353759e-11,1.342600093776278e-09,,,,-3.222323350178084e-22,-3.670532419187806e-20,,,,1.0411786248115943e-13,2.239711586535769e-12,,,,-1.1572721157690596e-22,-1.6477755988445041e-21,,,,-2.5141006705167536e-21,-5.0030389635679024e-20,,,,5.968375645046187e-19,1.074418556214382e-17,,,,-1.795701067747466e-21,-1.7172819368517586e-20,,,
0.1,6.754495615267619e-10,1.3835670081878415e-08,,,,-2.1246796081007154e-20,-6.939116075712232e-19,,,,9.43949459392178e-13,1.9223190075016766e-11,,,,-1.473685660039095e-21,-1.9992500788437247e-20,,,,-2.7083463137916146e-20,-5.243338938202125e-19,,,,5.669091985925832e-18,9.762190684775081e-17,,,,-2.3060776768787933e-20,-2.083368650446185e-19,,,
0.13333333333333333,4.939958386638707e-09,9.66397079414432e-08,,,,-2.948102893998414e-19,-6.961190521910692e-18,,,,5.844918246946092e-12,1.1262673877963967e-10,,,,-1.262229548547729e-20,-1.626020870193147e-19,,,,-1.9470300688496297e-19,-3.6958696975062805e-18,,,,3.700232452511392e-17,6.073070918405167e-16,,,,-1.7487565350395265e-19,-1.4806959240947698e-18,,,
0.16666666666666666,2.7585769087036552e-08,5.151478937640404e-07,,,,-2.517707848865961e-18,-4.836257947034887e-17,,,,2.7816761861339105e-11,5.069365895096737e-10,,,,-8.195936714790812e-20,-9.991822612720006e-19,,,,-1.0541528747603435e-18,-1.9762903733424403e-17,,,,1.8743526870229936e-16,2.918386129233154e-15,,,,-9.0773019720229e-19,-7.10931888093193e-18,,,
0.2,1.2554247848844185e-07,2.237074149350868e-06,,,,-1.6059197500221407e-17,-2.6152582243794415e-16,,,,1.0855709037197447e-10,1.8702623876472144e-09,,,,-4.3103016152141164e-19,-4.9561096678887e-18,,,,-4.595429892956264e-18,-8.568105394242706e-17,,,,7.892195886059654e-16,1.1592338749208712e-14,,,,-3.3587012361429073e-18,-2.356075047775989e-17,,,
0.23333333333333334,4.853079081569922e-07,8.249254986607167e-06,,,,-8.330828439837106e-17,-1.1779081918332325e-15,,,,3.6191982056914085e-10,5.8921777403838495e-09,,,,-1.9150756976575095e-18,-2.0697844304482524e-17,,,,-1.683577453607436e-17,-3.1419804620154413e-16,,,,2.888667890161671e-15,3.97851980870847e-14,,,,-8.123891990983386e-18,-4.4590857525062475e-17,,,
0.26666666666666666,1.6398977599888919e-06,2.658405378111595e-05,,,,-3.6894291884649825e-16,-4.622969868344536e-15,,,,1.060236787487268e-09,1.6304463664868335e-08,,,,-7.402394060331096e-18,-7.494224900998827e-17,,,,-5.3428377083752745e-17,-1.0036105291291743e-15,,,,9.483192205981739e-15,1.2176753488324032e-13,,,,-3.928665398230457e-18,4.842154093013364e-17,,,
0.3,4.9468931112499816e-06,7.64674010228862e-05,,,,-1.4392992919309237e-15,-1.632661624996779e-14,,,,2.785648071157507e-09,4.044623098029239e-08,,,,-2.543604646785201e-17,-2.4039547947647857e-16,,,,-1.5032701894394396e-16,-2.8533026248160147e-15,,,,2.855752737438574e-14,3.4033539195281003e-13,,,,8.408952791663718e-17,8.807136292828e-16,,,
