Distance (m),2 h,4 h,6 h,8 h,10 h,12 h
0.0,4.8473025235531015e-08,1.0742354068931752e-06,6.558243173787758e-07,-1.4207127103400655e-07,-1.793113999339874e-08,1.9287642609656108e-09
0.0004008016032064128,4.653476665387025e-08,1.1810667392858194e-06,8.945709026101719e-07,-2.479529089546294e-08,-5.0868137965444e-09,2.959503429839968e-09
0.0008016032064128256,4.46230872457605e-08,1.2783938184932122e-06,1.1495723569611303e-06,9.097312742447067e-08,7.875425778495161e-09,4.071541324002555e-09
0.0012024048096192384,4.273952350975854e-08,1.3665469244362835e-06,1.4163447389916356e-06,2.0493995359574622e-07,2.0954353993373136e-08,5.262118531246054e-09
0.0016032064128256513,4.088561194442112e-08,1.4458563370359613e-06,1.6904041072616738e-06,3.168111572883157e-07,3.414874610974272e-08,6.528475639363147e-09
0.002004008016032064,3.9062889048305e-08,1.516652336213175e-06,1.9672665203312296e-06,4.262927081721311e-07,4.745737738925711e-08,7.867853236146521e-09
0.002404809619238477,3.727289131996692e-08,1.5792652018888539e-06,2.2424480367602876e-06,5.330905759171443e-07,6.087902309356948e-08,9.27749190938886e-09
0.0028056112224448897,3.5517155257963665e-08,1.6340252139839258e-06,2.511464715108834e-06,6.369107301933074e-07,7.441245848433304e-08,1.0754632246882841e-08
0.0032064128256513026,3.379721736085198e-08,1.6812626524193206e-06,2.7698326139368538e-06,7.37459140670572e-07,8.805645882320097e-08,1.2296514836421156e-08
0.0036072144288577155,3.2114614127188604e-08,1.7213077971159668e-06,3.0130677918043316e-06,8.344417770188905e-07,1.0180979937182646e-07,1.3900380265796481e-08
0.004008016032064128,3.0470882055530326e-08,1.754490927994793e-06,3.236686307271253e-06,9.275646089082145e-07,1.1567125539186266e-07,1.5563469122801502e-08
0.004408817635270541,2.886755764443389e-08,1.7811423249767291e-06,3.436204218897603e-06,1.016533606008496e-06,1.296396021449628e-07,1.728302199522891e-08
0.004809619238476954,2.7306177392456053e-08,1.8015922679827031e-06,3.6071375852433666e-06,1.1010547379896874e-06,1.437136148927801e-07,1.9056279470871374e-08
