Distance (m),2 h,4 h,6 h,8 h,10 h,12 h
0.0,3.1150324865817442e-09,1.0090455377928695e-08,-1.5895966881660347e-08,-2.71143989158311e-09,-8.148761417467656e-11,1.5760518560077092e-11
0.0004008016032064128,3.921272597159363e-09,3.6895204101872003e-08,8.837663779856443e-09,7.422034410080205e-10,2.290412237999638e-10,9.435415581716089e-11
0.0008016032064128256,4.752602416737258e-09,6.361303921774133e-08,3.321358338879298e-08,4.158784813738981e-09,5.369705140841586e-10,1.718953959039585e-10
0.0012024048096192384,5.5974523833745646e-09,9.010458130473137e-08,5.7200759278885945e-08,7.537214043565972e-09,8.422509116141318e-10,2.483290649238781e-10
0.0016032064128256513,6.444252935130422e-09,1.1623045094203687e-07,8.076815878387213e-08,1.0876400947445192e-08,1.1448330713261073e-09,3.2359998898032774e-10
0.002004008016032064,7.281434510063964e-09,1.4185126870885253e-07,1.0388474923748817e-07,1.4175255342332842e-08,1.4446676481563085e-09,3.976529941767158e-10
0.002404809619238477,8.097427546234334e-09,1.6682765518437306e-07,1.2651949797347085e-07,1.743268704518512e-08,1.7417052970409602e-09,4.704329066164503e-10
0.0028056112224448897,8.880662481700664e-09,1.9102023094779317e-07,1.4864137232555691e-07,2.0647605872958217e-08,2.0358966729162855e-09,5.418845524029396e-10
0.0032064128256513026,9.619569754522093e-09,2.142896165783076e-07,1.7021933962748302e-07,2.3818921642608346e-08,2.327192430718508e-09,6.119527576395916e-10
0.0036072144288577155,1.0302579802757757e-08,2.36496432655111e-07,1.9122236721298585e-07,2.6945544171091697e-08,2.6155432253838524e-09,6.805823484298145e-10
0.004008016032064128,1.0918123064466798e-08,2.575012997573982e-07,2.1161942241580223e-07,3.002638327536446e-08,2.9008997118485422e-09,7.477181508770166e-10
0.004408817635270541,1.1454629977708346e-08,2.771648384643637e-07,2.313794725696688e-07,3.306034877238285e-08,3.1832125450488015e-09,8.13304991084606e-10
0.004809619238476954,1.1900530980541547e-08,2.953476693552024e-07,2.5047148500832234e-07,3.604635047910306e-08,3.4624323799208536e-09,8.772876951559911e-10
0.0052104208416833666,1.2244256511025531e-08,3.11910413009109e-07,2.6886442706549953e-07,3.898329821248129e-08,3.738509871400922e-09,9.396110891945795e-10
0.0056112224448897794,1.247423700721944e-08,3.267136900052781e-07,2.8652726607493705e-07,4.187010178947374e-08,4.011395674425233e-09,1.00021999930378e-09
0.006012024048096192,1.257890290718241e-08,3.396181209229045e-07,3.034289693703717e-07,4.4705671027036605e-08,4.281040443930008e-09,1.0590592515870004e-09
0.006412825651302605,1.2567490723709574e-08,3.5052623033107674e-07,3.192039252839449e-07,4.741855143599299e-08,4.53961776625823e-09,1.1144526054463238e-09
0.006813627254509018,1.2496126700019914e-08,3.5968273972998134e-07,3.3319583895048445e-07,4.986455264891969e-08,4.77111017877562e-09,1.1631122734686267e-09
0.007214428857715431,1.2380617307476294e-08,3.6749695611537277e-07,3.4585645109906907e-07,5.212100099405373e-08,4.983832866963329e-09,1.2069174600916955e-09
0.007615230460921844,1.223407238288989e-08,3.743790792875981e-07,3.576926930928464e-07,5.427653361341233e-08,5.1873472764837054e-09,1.2480095880562854e-09
0.008016032064128256,1.2069601763071878e-08,3.8073930904700407e-07,3.692114962949637e-07,5.641978764901273e-08,5.391214852999093e-09,1.2885300801031513e-09
0.008416833667334669,1.1900315284833434e-08,3.869878451939378e-07,3.809197920685687e-07,5.863940024287217e-08,5.604997042171844e-09,1.330620358973048e-09
0.008817635270541082,1.1739322784985734e-08,3.935348875287461e-07,3.9332451177680855e-07,6.102400853700787e-08,5.838255289664303e-09,1.3764218474067303e-09
0.009218436873747494,1.1599734100339954e-08,4.0079063585177597e-07,4.0693258678283094e-07,6.366224967343706e-08,6.100551041138818e-09,1.4280759681449533e-09
0.009619238476953907,1.149465906770727e-08,4.0916528996337415e-07,4.2225094844978335e-07,6.664276079417697e-08,6.401445742257738e-09,1.487724143928472e-09
0.01002004008016032,1.1437207523898858e-08,4.190690496638878e-07,4.397865281408131e-07,7.005417904124485e-08,6.750500838683407e-09,1.557507797498041e-09
0.010420841683366733,1.1440156648388543e-08,4.3176844834020013e-07,4.6099000968274157e-07,7.414100404025822e-08,7.1765960189427816e-09,1.6438481897220382e-09
0.010821643286573146,1.15043417412735e-08,4.5115136816137105e-07,4.902339342478191e-07,7.965092536185325e-08,7.774720320996227e-09,1.767598602923474e-09
0.011222444889779559,1.161685287756382e-08,4.760402938813931e-07,5.263556804676128e-07,8.644717928410515e-08,8.53562249217109e-09,1.926210552926591e-09
0.011623246492985972,1.176408099905914e-08,5.04560070810163e-07,5.674266915757029e-07,9.426833947691045e-08,9.434932404159628e-09,2.113767046912744e-09
0.012024048096192385,1.1932417047559098e-08,5.348355442575777e-07,6.115184108056697e-07,1.0285297961016556e-07,1.0448279928654094e-08,2.324351092063286e-09
0.012424849699398798,1.2108251964863339e-08,5.649915595335337e-07,6.56702281391093e-07,1.1193967335376698e-07,1.1551294937346746e-08,2.5520456955595716e-09
0.01282565130260521,1.2277976692771499e-08,5.931529619479279e-07,7.010497465655535e-07,1.2126699437761115e-07,1.2719607301929838e-08,2.790933864582954e-09
0.013226452905811623,1.2427982173083218e-08,6.17444596810657e-07,7.426322495626309e-07,1.3057351635159457e-07,1.3928846894095627e-08,3.0350986063147873e-09
0.013627254509018036,1.2544659347598138e-08,6.35991309431618e-07,7.795212336159057e-07,1.3959781294561362e-07,1.5154643585536364e-08,3.2786229279364263e-09
0.014028056112224449,1.2614399158115898e-08,6.469179451207073e-07,8.09788141958958e-07,1.4807845782956485e-07,1.6372627247944312e-08,3.5155898366292233e-09
0.014428857715430862,1.2616001780880876e-08,6.489993643220481e-07,8.319053916600502e-07,1.557619749193181e-07,1.7556845993325483e-08,3.739733001438444e-09
0.014829659318637275,1.2464922405861094e-08,6.484173741456143e-07,8.493572800483621e-07,1.626333732148809e-07,1.8684071470337494e-08,3.94549240492488e-09
0.015230460921843688,1.2171194331304805e-08,6.472858705640554e-07,8.640189934000756e-07,1.689286071920006e-07,1.9783159433263156e-08,4.139024121156757e-09
0.0156312625250501,1.1773013110639819e-08,6.45751991046503e-07,8.766518336467067e-07,1.7489275963697804e-07,2.0892406897131164e-08,4.328592882245673e-09
0.01603206412825651,1.1308574297293944e-08,6.439628730620893e-07,8.880171027197708e-07,1.807709133361141e-07,2.2050110876970186e-08,4.522463420303225e-09
0.016432865731462926,1.0816073444694981e-08,6.420656540799461e-07,8.988761025507839e-07,1.8680815107570974e-07,2.3294568387808942e-08,4.728900467441015e-09
0.016833667334669337,1.0333706106270746e-08,6.402074715692051e-07,9.099901350712615e-07,1.9324955564206573e-07,2.4664076444676077e-08,4.956168755770638e-09
