Time (h),BA_modelA-strongVM_PVS_concentration_mmol_l,BA_modelA-strongVM_outer_concentration_mmol_l,BA_modelB2-100_PVS_concentration_mmol_l,BA_modelB2-100_outer_concentration_mmol_l,MCA-R_modelA-strongVM_PVS_concentration_mmol_l,MCA-R_modelA-strongVM_outer_concentration_mmol_l,MCA-R_modelB2-100_PVS_concentration_mmol_l,MCA-R_modelB2-100_outer_concentration_mmol_l,MCA-L_modelA-strongVM_PVS_concentration_mmol_l,MCA-L_modelA-strongVM_outer_concentration_mmol_l,MCA-L_modelB2-100_PVS_concentration_mmol_l,MCA-L_modelB2-100_outer_concentration_mmol_l,ACA-A2_modelA-strongVM_PVS_concentration_mmol_l,ACA-A2_modelA-strongVM_outer_concentration_mmol_l,ACA-A2_modelB2-100_PVS_concentration_mmol_l,ACA-A2_modelB2-100_outer_concentration_mmol_l,ACA-A3_modelA-strongVM_PVS_concentration_mmol_l,ACA-A3_modelA-strongVM_outer_concentration_mmol_l,ACA-A3_modelB2-100_PVS_concentration_mmol_l,ACA-A3_modelB2-100_outer_concentration_mmol_l
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03333333333333333,2.5949099320610515e-12,6.614993773973843e-11,3.7477222916741954e-11,4.635967103218181e-11,4.850678276766579e-15,1.3352168421098404e-13,8.992961100434268e-14,1.1750825156079588e-13,-1.7873932179046282e-20,9.72815176102551e-22,-1.2597458010317398e-19,-5.843878536985113e-20,-1.6485030601602245e-19,8.55839292923056e-19,-1.4268752257697843e-19,1.0568795108297767e-18,-3.022700904469327e-23,-4.975742985898042e-22,-3.392895581182812e-21,-2.393583399230005e-21
0.06666666666666667,5.4616306942557775e-11,1.3422688324724498e-09,7.621720555499811e-10,9.347185995350666e-10,8.505150574932991e-14,2.238176722873173e-12,1.4920325971326133e-12,1.9232793281257135e-12,-2.0554239076054008e-19,-1.4224547963409996e-20,-4.747072744376016e-18,-3.3816633788239692e-18,-2.85894594057417e-18,1.663312887417044e-17,-4.580519187743473e-19,2.0620972452373746e-17,-1.351470017460245e-21,-1.1254185942526453e-20,-1.0062698433915984e-19,-8.196652326238685e-20
0.1,5.835340846710473e-10,1.3831917245943424e-08,7.872683123273015e-09,9.574775380598983e-09,7.627747648618058e-13,1.9202600699673135e-11,1.2673777768617714e-11,1.6124125618883252e-11,6.342422686826339e-18,2.3107474380470956e-21,-6.792401656458492e-17,-5.405288782613178e-17,-2.4405802857871972e-17,1.6790932930693636e-16,2.4235563673848842e-17,2.1431047164727715e-16,-1.9962378510118896e-21,-7.426539704384028e-20,-1.1805909781571157e-18,-1.009338091212663e-18
0.13333333333333333,4.223327489332542e-09,9.660960482000481e-08,5.511756753605076e-08,6.64975134129289e-08,4.669159723673276e-12,1.1247423317267368e-10,7.35051148855882e-11,9.235467527141281e-11,1.8733856680507654e-16,7.224238307743074e-18,-5.845116966988965e-16,-4.908563523869786e-16,-1.3421542927209544e-16,1.173994261303839e-15,3.9747641730509935e-16,1.5724521999867276e-15,2.249212964976693e-19,1.4394229165383244e-19,-8.055612511718764e-18,-7.044827262058302e-18
0.16666666666666666,2.3310475982228208e-08,5.149596643404075e-07,2.9446474496942297e-07,3.5253078920409555e-07,2.1977804781603142e-11,5.06130668053288e-10,3.274570425343799e-10,4.06632081562975e-10,2.5385518246187805e-15,1.3556775766614625e-16,-3.575636227169373e-15,-3.1087864886798338e-15,-5.14415960593065e-16,6.388203238625917e-15,3.456873159152738e-15,9.069268350126644e-15,3.484187397220725e-18,6.444716364519765e-18,-3.545772118893513e-17,-3.1315687945331576e-17
0.2,1.0472595896946252e-07,2.2361071952647978e-06,1.281352390297691e-06,1.5227396769106409e-06,8.506390395042833e-11,1.866883780722399e-09,1.1948583747954774e-09,1.4678733188349812e-09,2.3455838678116797e-14,1.457962323111354e-15,-1.6855383318596937e-14,-1.5065169074052956e-14,-1.3169663109098781e-15,2.8786748040200246e-14,2.1199924022816516e-14,4.333257926031319e-14,3.060239792605484e-17,6.334104287419742e-17,-9.089502538581168e-17,-7.970908427346704e-17
0.23333333333333334,3.991441391080606e-07,8.245029769222172e-06,4.733462749453462e-06,5.585720997651036e-06,2.8318005537163037e-10,5.880310930350883e-09,3.7176204363625085e-09,4.523576849733844e-09,1.6756408411613352e-13,1.142596137473166e-14,-6.369731369079752e-14,-5.8480669109929e-14,-1.2822562946086932e-15,1.1151692048924358e-13,1.0140397189343853e-13,1.7654359988195713e-13,1.9596786541702535e-16,4.1054928744529414e-16,2.5266808378167895e-17,3.5244745101768754e-17
0.26666666666666666,1.3280654821306872e-06,2.6567946818847722e-05,1.5276499660943284e-05,1.7906918490698484e-05,8.394909236080478e-10,1.626851425487088e-08,1.0134538265776047e-08,1.2232246151801568e-08,9.858089917144943e-13,7.176528669247116e-14,-1.94420885912654e-13,-1.844233572725038e-13,8.084794382879396e-15,3.803736804318527e-13,3.97847132642587e-13,6.237283882386706e-13,1.0057033827412989e-15,2.0715525624083228e-15,1.7149648138841814e-15,1.6231808997762934e-15
0.3,3.939676518172615e-06,7.641278161199176e-05,4.399023761499222e-05,5.123962767013419e-05,2.283687971816451e-09,4.035118293761849e-08,2.4675706425555468e-08,2.9596538339729743e-08,4.962584106838058e-12,3.8024311233711013e-13,-4.584898102465034e-13,-4.590432459320295e-13,6.056800872144283e-14,1.1604263569868227e-12,1.3153568621980946e-12,1.9281715399432184e-12,4.349493933597874e-15,8.711473232437766e-15,1.1162935202805349e-14,1.0469274248856357e-14
