Time (h),CSF_modelA_conc_mmol_l,CSF_LargePVSA_conc_mmol_l,CSF_modelA-strongVM_conc_mmol_l,CSF_LargePVS_conc_mmol_l,parenchyma_modelA_conc_mmol_l,parenchyma_LargePVSA_conc_mmol_l,parenchyma_modelA-strongVM_conc_mmol_l,parenchyma_LargePVS_conc_mmol_l,PVS_artery_modelA_conc_mmol_l,PVS_artery_LargePVSA_conc_mmol_l,PVS_artery_modelA-strongVM_conc_mmol_l,PVS_artery_LargePVS_conc_mmol_l,PVS_vein_modelA_conc_mmol_l,PVS_vein_LargePVSA_conc_mmol_l,PVS_vein_modelA-strongVM_conc_mmol_l,PVS_vein_LargePVS_conc_mmol_l
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03333333333333333,0.0015407382542267192,0.0015407413274311024,0.001540739381302769,0.0015407437502536119,2.2884733918925516e-06,2.2886214426888466e-06,2.2885051688253407e-06,2.2884746716328174e-06,4.2952694118941983e-14,3.344050910092454e-14,4.306461276405153e-14,3.3083528867091407e-14,2.3814793557308657e-13,2.2521541788214148e-13,2.382040191594746e-13,2.2522702659024086e-13
0.06666666666666667,0.004620937058334407,0.004620946569143662,0.004620939342330959,0.0046209558485064,8.608136335065358e-06,8.608659597542073e-06,8.608245545577782e-06,8.608147341091342e-06,9.97169744983041e-13,7.519849733264367e-13,9.95711709426048e-13,7.454224309437114e-13,4.01927353674669e-12,3.722537440694984e-12,4.019745486733823e-12,3.7226290392496054e-12
0.1,0.009239556869158944,0.00923957590320505,0.009239559053109638,0.009239598170126945,2.0377258158411886e-05,2.0378428200848244e-05,2.0377498661935632e-05,2.0377288594403168e-05,1.1433576293832048e-11,8.403397590093672e-12,1.1380828695740684e-11,8.33787994253279e-12,3.4662424216840974e-11,3.1498251551287204e-11,3.466480770737319e-11,3.1498580605474626e-11
0.13333333333333333,0.015395712937896294,0.01539574410901636,0.015395712601923277,0.015395786992566975,3.880289875229875e-05,3.8804983502930304e-05,3.880332888802949e-05,3.880292628420179e-05,8.723650244419871e-11,6.273707346448989e-11,8.660634911553651e-11,6.227428317277164e-11,2.0384893197975308e-10,1.8204098426204606e-10,2.038587696573269e-10,1.8204178318538043e-10
0.16666666666666666,0.023088627340412712,0.023088672626034024,0.02308862104951944,0.02308874511396588,6.494590623417103e-05,6.494905202300715e-05,6.494658604783039e-05,6.494576749249926e-05,5.01536232563036e-10,3.5390317947505085e-10,4.967647882495127e-10,3.513430224307514e-10,9.204572276656022e-10,8.089353311120949e-10,9.20494153006017e-10,8.089379387806443e-10
0.2,0.032317598969478285,0.0323176593756162,0.03231758239472819,0.03231777170400008,9.976088775444224e-05,9.976482045560431e-05,9.976187703735189e-05,9.97599855855314e-05,2.3276775420664524e-09,1.6149741124716324e-09,2.3006355458722925e-09,1.6032633033986931e-09,3.406425428907215e-09,2.9498832846114888e-09,3.406555478802652e-09,2.9498984300403037e-09
0.23333333333333334,0.04308198355075762,0.04308205835051246,0.0430819515603802,0.043082221907543815,0.00014412146236971894,0.000144124809395408,0.00014412281962123663,0.00014411809243617467,9.112399964773988e-09,6.226735142224202e-09,8.988301551296644e-09,6.180874089366122e-09,1.0770134101745395e-08,9.200413421498486e-09,1.077056795912341e-08,9.200498119231752e-09
0.26666666666666666,0.055381179394530154,0.05538126455274916,0.055381126121278275,0.05538149178995219,0.00019883603193803504,0.00019883495786314836,0.00019883781481928037,0.0001988260223331476,3.1021165510063455e-08,2.0906536804378036e-08,3.053816139128288e-08,2.074892339831295e-08,2.994164992533151e-08,2.525643479718593e-08,2.994302991876799e-08,2.525681525433785e-08
0.3,0.06921461624148244,0.0692147014695735,0.06921453513393677,0.06921500581754288,0.0002646570255398982,0.00026464276589994095,0.0002646592943752573,0.00026463127489818715,9.390939662058101e-08,6.249825356784424e-08,9.226533170266178e-08,6.201385938201987e-08,7.47586977636246e-08,6.232320800289142e-08,7.476289937224083e-08,6.232462015671295e-08
